year,city,country,avg_temp,7-yearMA
1841,Shanghai,China,14.87,
1842,Shanghai,China,15.43,
1843,Shanghai,China,15.53,
1844,Shanghai,China,15.33,
1845,Shanghai,China,15.43,
1846,Shanghai,China,15.85,
1847,Shanghai,China,15.78,15.46
1848,Shanghai,China,15.02,15.48142857
1849,Shanghai,China,15.44,15.48285714
1850,Shanghai,China,15.6,15.49285714
1851,Shanghai,China,15.22,15.47714286
1852,Shanghai,China,15.44,15.47857143
1853,Shanghai,China,15.79,15.47
1854,Shanghai,China,15.99,15.5
1855,Shanghai,China,15.84,15.61714286
1856,Shanghai,China,15.55,15.63285714
1857,Shanghai,China,15.93,15.68
1858,Shanghai,China,15.49,15.71857143
1859,Shanghai,China,15.64,15.74714286
1860,Shanghai,China,15.05,15.64142857
1861,Shanghai,China,15.29,15.54142857
1862,Shanghai,China,14.47,15.34571429
1863,Shanghai,China,15.2,15.29571429
1864,Shanghai,China,14.85,15.14142857
1865,Shanghai,China,15.72,15.17428571
1866,Shanghai,China,15.54,15.16
1867,Shanghai,China,15.95,15.28857143
1868,Shanghai,China,15.86,15.37
1869,Shanghai,China,16.09,15.60142857
1870,Shanghai,China,15.95,15.70857143
1871,Shanghai,China,16.31,15.91714286
1872,Shanghai,China,16.12,15.97428571
1873,Shanghai,China,15.74,16.00285714
1874,Shanghai,China,15.68,15.96428571
1875,Shanghai,China,15.47,15.90857143
1876,Shanghai,China,15.6,15.83857143
1877,Shanghai,China,15.43,15.76428571
1878,Shanghai,China,15.46,15.64285714
1879,Shanghai,China,16.13,15.64428571
1880,Shanghai,China,15.28,15.57857143
1881,Shanghai,China,15.63,15.57142857
1882,Shanghai,China,15.54,15.58142857
1883,Shanghai,China,15.41,15.55428571
1884,Shanghai,China,14.92,15.48142857
1885,Shanghai,China,14.91,15.40285714
1886,Shanghai,China,15.06,15.25
1887,Shanghai,China,15.65,15.30285714
1888,Shanghai,China,15.87,15.33714286
1889,Shanghai,China,15.3,15.30285714
1890,Shanghai,China,16.22,15.41857143
1891,Shanghai,China,15.72,15.53285714
1892,Shanghai,China,15.43,15.60714286
1893,Shanghai,China,15.13,15.61714286
1894,Shanghai,China,16.23,15.7
1895,Shanghai,China,15.27,15.61428571
1896,Shanghai,China,15.73,15.67571429
1897,Shanghai,China,15.6,15.58714286
1898,Shanghai,China,16.33,15.67428571
1899,Shanghai,China,15.84,15.73285714
1900,Shanghai,China,15.8,15.82857143
1901,Shanghai,China,15.26,15.69
1902,Shanghai,China,16.27,15.83285714
1903,Shanghai,China,15.56,15.80857143
1904,Shanghai,China,15.64,15.81428571
1905,Shanghai,China,15.5,15.69571429
1906,Shanghai,China,15.5,15.64714286
1907,Shanghai,China,15.57,15.61428571
1908,Shanghai,China,15.67,15.67285714
1909,Shanghai,China,15.84,15.61142857
1910,Shanghai,China,15.26,15.56857143
1911,Shanghai,China,15.48,15.54571429
1912,Shanghai,China,15.61,15.56142857
1913,Shanghai,China,15.36,15.54142857
1914,Shanghai,China,16.52,15.67714286
1915,Shanghai,China,16.11,15.74
1916,Shanghai,China,15.75,15.72714286
1917,Shanghai,China,15.09,15.70285714
1918,Shanghai,China,15.55,15.71285714
1919,Shanghai,China,15.93,15.75857143
1920,Shanghai,China,16.02,15.85285714
1921,Shanghai,China,15.58,15.71857143
1922,Shanghai,China,16.11,15.71857143
1923,Shanghai,China,15.77,15.72142857
1924,Shanghai,China,15.72,15.81142857
1925,Shanghai,China,15.65,15.82571429
1926,Shanghai,China,16.04,15.84142857
1927,Shanghai,China,16.13,15.85714286
1928,Shanghai,China,16.03,15.92142857
1929,Shanghai,China,15.96,15.9
1930,Shanghai,China,16.06,15.94142857
1931,Shanghai,China,15.64,15.93
1932,Shanghai,China,16.04,15.98571429
1933,Shanghai,China,15.91,15.96714286
1934,Shanghai,China,15.85,15.92714286
1935,Shanghai,China,16.33,15.97
1936,Shanghai,China,15.28,15.87285714
1937,Shanghai,China,16.09,15.87714286
1938,Shanghai,China,16.32,15.97428571
1939,Shanghai,China,16.13,15.98714286
1940,Shanghai,China,16.25,16.03571429
1941,Shanghai,China,16.39,16.11285714
1942,Shanghai,China,16.21,16.09571429
1943,Shanghai,China,16.01,16.2
1944,Shanghai,China,16.14,16.20714286
1945,Shanghai,China,15.91,16.14857143
1946,Shanghai,China,16.7,16.23
1947,Shanghai,China,15.87,16.17571429
1948,Shanghai,China,16.49,16.19
1949,Shanghai,China,16.56,16.24
1950,Shanghai,China,16.4,16.29571429
1951,Shanghai,China,16.18,16.30142857
1952,Shanghai,China,16.1,16.32857143
1953,Shanghai,China,17.03,16.37571429
1954,Shanghai,China,15.85,16.37285714
1955,Shanghai,China,16.06,16.31142857
1956,Shanghai,China,15.61,16.17571429
1957,Shanghai,China,15.6,16.06142857
1958,Shanghai,China,16.07,16.04571429
1959,Shanghai,China,16.54,16.10857143
1960,Shanghai,China,16.6,16.04714286
1961,Shanghai,China,17.02,16.21428571
1962,Shanghai,China,16.11,16.22142857
1963,Shanghai,China,16.2,16.30571429
1964,Shanghai,China,16.58,16.44571429
1965,Shanghai,China,16.06,16.44428571
1966,Shanghai,China,16.5,16.43857143
1967,Shanghai,China,16.05,16.36
1968,Shanghai,China,16.13,16.23285714
1969,Shanghai,China,15.64,16.16571429
1970,Shanghai,China,15.82,16.11142857
1971,Shanghai,China,16.22,16.06
1972,Shanghai,China,15.71,16.01
1973,Shanghai,China,16.32,15.98428571
1974,Shanghai,China,15.93,15.96714286
1975,Shanghai,China,16.48,16.01714286
1976,Shanghai,China,15.71,16.02714286
1977,Shanghai,China,16.17,16.07714286
1978,Shanghai,China,16.67,16.14142857
1979,Shanghai,China,16.54,16.26
1980,Shanghai,China,15.57,16.15285714
1981,Shanghai,China,15.91,16.15
1982,Shanghai,China,16.2,16.11
1983,Shanghai,China,16.22,16.18285714
1984,Shanghai,China,15.8,16.13
1985,Shanghai,China,16.04,16.04
1986,Shanghai,China,15.94,15.95428571
1987,Shanghai,China,16.19,16.04285714
1988,Shanghai,China,16.17,16.08
1989,Shanghai,China,16.24,16.08571429
1990,Shanghai,China,17.26,16.23428571
1991,Shanghai,China,16.14,16.28285714
1992,Shanghai,China,16.14,16.29714286
1993,Shanghai,China,15.98,16.30285714
1994,Shanghai,China,17.34,16.46714286
1995,Shanghai,China,16.36,16.49428571
1996,Shanghai,China,16.21,16.49
1997,Shanghai,China,16.76,16.41857143
1998,Shanghai,China,17.56,16.62142857
1999,Shanghai,China,16.68,16.69857143
2000,Shanghai,China,16.9,16.83
2001,Shanghai,China,16.93,16.77142857
2002,Shanghai,China,17.22,16.89428571
2003,Shanghai,China,16.74,16.97
2004,Shanghai,China,17.24,17.03857143
2005,Shanghai,China,16.75,16.92285714
2006,Shanghai,China,17.41,17.02714286
2007,Shanghai,China,17.63,17.13142857
2008,Shanghai,China,16.72,17.10142857
2009,Shanghai,China,17.01,17.07142857
2010,Shanghai,China,16.75,17.07285714
2011,Shanghai,China,16.52,16.97
2012,Shanghai,China,16.47,16.93
2013,Shanghai,China,17.86,16.99428571
