year,avg_temp,7-yearMA,year,city,country,avg_temp,7-yearMA,,相关系数
1750,8.72,,1841,Shanghai,China,14.87,,,0.951652564
1751,7.98,,1842,Shanghai,China,15.43,,,
1752,5.78,,1843,Shanghai,China,15.53,,,
1753,8.39,,1844,Shanghai,China,15.33,,,
1754,8.47,,1845,Shanghai,China,15.43,,,
1755,8.36,,1846,Shanghai,China,15.85,,,
1756,8.85,8.078571429,1847,Shanghai,China,15.78,15.46,,
1757,9.02,8.121428571,1848,Shanghai,China,15.02,15.48142857,,
1758,6.74,7.944285714,1849,Shanghai,China,15.44,15.48285714,,
1759,7.99,8.26,1850,Shanghai,China,15.6,15.49285714,,
1760,7.19,8.088571429,1851,Shanghai,China,15.22,15.47714286,,
1761,8.77,8.131428571,1852,Shanghai,China,15.44,15.47857143,,
1762,8.61,8.167142857,1853,Shanghai,China,15.79,15.47,,
1763,7.5,7.974285714,1854,Shanghai,China,15.99,15.5,,
1764,8.4,7.885714286,1855,Shanghai,China,15.84,15.61714286,,
1765,8.25,8.101428571,1856,Shanghai,China,15.55,15.63285714,,
1766,8.41,8.161428571,1857,Shanghai,China,15.93,15.68,,
1767,8.22,8.308571429,1858,Shanghai,China,15.49,15.71857143,,
1768,6.78,8.024285714,1859,Shanghai,China,15.64,15.74714286,,
1769,7.69,7.892857143,1860,Shanghai,China,15.05,15.64142857,,
1770,7.69,7.92,1861,Shanghai,China,15.29,15.54142857,,
1771,7.85,7.841428571,1862,Shanghai,China,14.47,15.34571429,,
1772,8.19,7.832857143,1863,Shanghai,China,15.2,15.29571429,,
1773,8.22,7.805714286,1864,Shanghai,China,14.85,15.14142857,,
1774,8.77,7.884285714,1865,Shanghai,China,15.72,15.17428571,,
1775,9.18,8.227142857,1866,Shanghai,China,15.54,15.16,,
1776,8.3,8.314285714,1867,Shanghai,China,15.95,15.28857143,,
1777,8.26,8.395714286,1868,Shanghai,China,15.86,15.37,,
1778,8.54,8.494285714,1869,Shanghai,China,16.09,15.60142857,,
1779,8.98,8.607142857,1870,Shanghai,China,15.95,15.70857143,,
1780,9.43,8.78,1871,Shanghai,China,16.31,15.91714286,,
1781,8.1,8.684285714,1872,Shanghai,China,16.12,15.97428571,,
1782,7.9,8.501428571,1873,Shanghai,China,15.74,16.00285714,,
1783,7.68,8.412857143,1874,Shanghai,China,15.68,15.96428571,,
1784,7.86,8.355714286,1875,Shanghai,China,15.47,15.90857143,,
1785,7.36,8.187142857,1876,Shanghai,China,15.6,15.83857143,,
1786,8.26,8.084285714,1877,Shanghai,China,15.43,15.76428571,,
1787,8.03,7.884285714,1878,Shanghai,China,15.46,15.64285714,,
1788,8.45,7.934285714,1879,Shanghai,China,16.13,15.64428571,,
1789,8.33,7.995714286,1880,Shanghai,China,15.28,15.57857143,,
1790,7.98,8.038571429,1881,Shanghai,China,15.63,15.57142857,,
1791,8.23,8.091428571,1882,Shanghai,China,15.54,15.58142857,,
1792,8.09,8.195714286,1883,Shanghai,China,15.41,15.55428571,,
1793,8.23,8.191428571,1884,Shanghai,China,14.92,15.48142857,,
1794,8.53,8.262857143,1885,Shanghai,China,14.91,15.40285714,,
1795,8.35,8.248571429,1886,Shanghai,China,15.06,15.25,,
1796,8.27,8.24,1887,Shanghai,China,15.65,15.30285714,,
1797,8.51,8.315714286,1888,Shanghai,China,15.87,15.33714286,,
1798,8.67,8.378571429,1889,Shanghai,China,15.3,15.30285714,,
1799,8.51,8.438571429,1890,Shanghai,China,16.22,15.41857143,,
1800,8.48,8.474285714,1891,Shanghai,China,15.72,15.53285714,,
1801,8.59,8.482857143,1892,Shanghai,China,15.43,15.60714286,,
1802,8.58,8.515714286,1893,Shanghai,China,15.13,15.61714286,,
1803,8.5,8.548571429,1894,Shanghai,China,16.23,15.7,,
1804,8.84,8.595714286,1895,Shanghai,China,15.27,15.61428571,,
1805,8.56,8.58,1896,Shanghai,China,15.73,15.67571429,,
1806,8.43,8.568571429,1897,Shanghai,China,15.6,15.58714286,,
1807,8.28,8.54,1898,Shanghai,China,16.33,15.67428571,,
1808,7.63,8.402857143,1899,Shanghai,China,15.84,15.73285714,,
1809,7.08,8.188571429,1900,Shanghai,China,15.8,15.82857143,,
1810,6.92,7.962857143,1901,Shanghai,China,15.26,15.69,,
1811,6.86,7.68,1902,Shanghai,China,16.27,15.83285714,,
1812,7.05,7.464285714,1903,Shanghai,China,15.56,15.80857143,,
1813,7.74,7.365714286,1904,Shanghai,China,15.64,15.81428571,,
1814,7.59,7.267142857,1905,Shanghai,China,15.5,15.69571429,,
1815,7.24,7.211428571,1906,Shanghai,China,15.5,15.64714286,,
1816,6.94,7.191428571,1907,Shanghai,China,15.57,15.61428571,,
1817,6.98,7.2,1908,Shanghai,China,15.67,15.67285714,,
1818,7.83,7.338571429,1909,Shanghai,China,15.84,15.61142857,,
1819,7.37,7.384285714,1910,Shanghai,China,15.26,15.56857143,,
1820,7.62,7.367142857,1911,Shanghai,China,15.48,15.54571429,,
1821,8.09,7.438571429,1912,Shanghai,China,15.61,15.56142857,,
1822,8.19,7.574285714,1913,Shanghai,China,15.36,15.54142857,,
1823,7.72,7.685714286,1914,Shanghai,China,16.52,15.67714286,,
1824,8.55,7.91,1915,Shanghai,China,16.11,15.74,,
1825,8.39,7.99,1916,Shanghai,China,15.75,15.72714286,,
1826,8.36,8.131428571,1917,Shanghai,China,15.09,15.70285714,,
1827,8.81,8.301428571,1918,Shanghai,China,15.55,15.71285714,,
1828,8.17,8.312857143,1919,Shanghai,China,15.93,15.75857143,,
1829,7.94,8.277142857,1920,Shanghai,China,16.02,15.85285714,,
1830,8.52,8.391428571,1921,Shanghai,China,15.58,15.71857143,,
1831,7.64,8.261428571,1922,Shanghai,China,16.11,15.71857143,,
1832,7.45,8.127142857,1923,Shanghai,China,15.77,15.72142857,,
1833,8.01,8.077142857,1924,Shanghai,China,15.72,15.81142857,,
1834,8.15,7.982857143,1925,Shanghai,China,15.65,15.82571429,,
1835,7.39,7.871428571,1926,Shanghai,China,16.04,15.84142857,,
1836,7.7,7.837142857,1927,Shanghai,China,16.13,15.85714286,,
1837,7.38,7.674285714,1928,Shanghai,China,16.03,15.92142857,,
1838,7.51,7.655714286,1929,Shanghai,China,15.96,15.9,,
1839,7.63,7.681428571,1930,Shanghai,China,16.06,15.94142857,,
1840,7.8,7.651428571,1931,Shanghai,China,15.64,15.93,,
1841,7.69,7.585714286,1932,Shanghai,China,16.04,15.98571429,,
1842,8.02,7.675714286,1933,Shanghai,China,15.91,15.96714286,,
1843,8.17,7.742857143,1934,Shanghai,China,15.85,15.92714286,,
1844,7.65,7.781428571,1935,Shanghai,China,16.33,15.97,,
1845,7.85,7.83,1936,Shanghai,China,15.28,15.87285714,,
1846,8.55,7.961428571,1937,Shanghai,China,16.09,15.87714286,,
1847,8.09,8.002857143,1938,Shanghai,China,16.32,15.97428571,,
1848,7.98,8.044285714,1939,Shanghai,China,16.13,15.98714286,,
1849,7.98,8.038571429,1940,Shanghai,China,16.25,16.03571429,,
1850,7.9,8,1941,Shanghai,China,16.39,16.11285714,,
1851,8.18,8.075714286,1942,Shanghai,China,16.21,16.09571429,,
1852,8.1,8.111428571,1943,Shanghai,China,16.01,16.2,,
1853,8.04,8.038571429,1944,Shanghai,China,16.14,16.20714286,,
1854,8.21,8.055714286,1945,Shanghai,China,15.91,16.14857143,,
1855,8.11,8.074285714,1946,Shanghai,China,16.7,16.23,,
1856,8,8.077142857,1947,Shanghai,China,15.87,16.17571429,,
1857,7.76,8.057142857,1948,Shanghai,China,16.49,16.19,,
1858,8.1,8.045714286,1949,Shanghai,China,16.56,16.24,,
1859,8.25,8.067142857,1950,Shanghai,China,16.4,16.29571429,,
1860,7.96,8.055714286,1951,Shanghai,China,16.18,16.30142857,,
1861,7.85,8.004285714,1952,Shanghai,China,16.1,16.32857143,,
1862,7.56,7.925714286,1953,Shanghai,China,17.03,16.37571429,,
1863,8.11,7.941428571,1954,Shanghai,China,15.85,16.37285714,,
1864,7.98,7.972857143,1955,Shanghai,China,16.06,16.31142857,,
1865,8.18,7.984285714,1956,Shanghai,China,15.61,16.17571429,,
1866,8.29,7.99,1957,Shanghai,China,15.6,16.06142857,,
1867,8.44,8.058571429,1958,Shanghai,China,16.07,16.04571429,,
1868,8.25,8.115714286,1959,Shanghai,China,16.54,16.10857143,,
1869,8.43,8.24,1960,Shanghai,China,16.6,16.04714286,,
1870,8.2,8.252857143,1961,Shanghai,China,17.02,16.21428571,,
1871,8.12,8.272857143,1962,Shanghai,China,16.11,16.22142857,,
1872,8.19,8.274285714,1963,Shanghai,China,16.2,16.30571429,,
1873,8.35,8.282857143,1964,Shanghai,China,16.58,16.44571429,,
1874,8.43,8.281428571,1965,Shanghai,China,16.06,16.44428571,,
1875,7.86,8.225714286,1966,Shanghai,China,16.5,16.43857143,,
1876,8.08,8.175714286,1967,Shanghai,China,16.05,16.36,,
1877,8.54,8.224285714,1968,Shanghai,China,16.13,16.23285714,,
1878,8.83,8.325714286,1969,Shanghai,China,15.64,16.16571429,,
1879,8.17,8.322857143,1970,Shanghai,China,15.82,16.11142857,,
1880,8.12,8.29,1971,Shanghai,China,16.22,16.06,,
1881,8.27,8.267142857,1972,Shanghai,China,15.71,16.01,,
1882,8.13,8.305714286,1973,Shanghai,China,16.32,15.98428571,,
1883,7.98,8.291428571,1974,Shanghai,China,15.93,15.96714286,,
1884,7.77,8.181428571,1975,Shanghai,China,16.48,16.01714286,,
1885,7.92,8.051428571,1976,Shanghai,China,15.71,16.02714286,,
1886,7.95,8.02,1977,Shanghai,China,16.17,16.07714286,,
1887,7.91,7.99,1978,Shanghai,China,16.67,16.14142857,,
1888,8.09,7.964285714,1979,Shanghai,China,16.54,16.26,,
1889,8.32,7.991428571,1980,Shanghai,China,15.57,16.15285714,,
1890,7.97,7.99,1981,Shanghai,China,15.91,16.15,,
1891,8.02,8.025714286,1982,Shanghai,China,16.2,16.11,,
1892,8.07,8.047142857,1983,Shanghai,China,16.22,16.18285714,,
1893,8.06,8.062857143,1984,Shanghai,China,15.8,16.13,,
1894,8.16,8.098571429,1985,Shanghai,China,16.04,16.04,,
1895,8.15,8.107142857,1986,Shanghai,China,15.94,15.95428571,,
1896,8.21,8.091428571,1987,Shanghai,China,16.19,16.04285714,,
1897,8.29,8.137142857,1988,Shanghai,China,16.17,16.08,,
1898,8.18,8.16,1989,Shanghai,China,16.24,16.08571429,,
1899,8.4,8.207142857,1990,Shanghai,China,17.26,16.23428571,,
1900,8.5,8.27,1991,Shanghai,China,16.14,16.28285714,,
1901,8.54,8.324285714,1992,Shanghai,China,16.14,16.29714286,,
1902,8.3,8.345714286,1993,Shanghai,China,15.98,16.30285714,,
1903,8.22,8.347142857,1994,Shanghai,China,17.34,16.46714286,,
1904,8.09,8.318571429,1995,Shanghai,China,16.36,16.49428571,,
1905,8.23,8.325714286,1996,Shanghai,China,16.21,16.49,,
1906,8.38,8.322857143,1997,Shanghai,China,16.76,16.41857143,,
1907,7.95,8.244285714,1998,Shanghai,China,17.56,16.62142857,,
1908,8.19,8.194285714,1999,Shanghai,China,16.68,16.69857143,,
1909,8.18,8.177142857,2000,Shanghai,China,16.9,16.83,,
1910,8.22,8.177142857,2001,Shanghai,China,16.93,16.77142857,,
1911,8.18,8.19,2002,Shanghai,China,17.22,16.89428571,,
1912,8.17,8.181428571,2003,Shanghai,China,16.74,16.97,,
1913,8.3,8.17,2004,Shanghai,China,17.24,17.03857143,,
1914,8.59,8.261428571,2005,Shanghai,China,16.75,16.92285714,,
1915,8.59,8.318571429,2006,Shanghai,China,17.41,17.02714286,,
1916,8.23,8.325714286,2007,Shanghai,China,17.63,17.13142857,,
1917,8.02,8.297142857,2008,Shanghai,China,16.72,17.10142857,,
1918,8.13,8.29,2009,Shanghai,China,17.01,17.07142857,,
1919,8.38,8.32,2010,Shanghai,China,16.75,17.07285714,,
1920,8.36,8.328571429,2011,Shanghai,China,16.52,16.97,,
1921,8.57,8.325714286,2012,Shanghai,China,16.47,16.93,,
1922,8.41,8.3,2013,Shanghai,China,17.86,16.99428571,,
1923,8.42,8.327142857,,,,,,,
1924,8.51,8.397142857,,,,,,,
1925,8.53,8.454285714,,,,,,,
1926,8.73,8.504285714,,,,,,,
1927,8.52,8.527142857,,,,,,,
1928,8.63,8.535714286,,,,,,,
1929,8.24,8.511428571,,,,,,,
1930,8.63,8.541428571,,,,,,,
1931,8.72,8.571428571,,,,,,,
1932,8.71,8.597142857,,,,,,,
1933,8.34,8.541428571,,,,,,,
1934,8.63,8.557142857,,,,,,,
1935,8.52,8.541428571,,,,,,,
1936,8.55,8.585714286,,,,,,,
1937,8.7,8.595714286,,,,,,,
1938,8.86,8.615714286,,,,,,,
1939,8.76,8.622857143,,,,,,,
1940,8.76,8.682857143,,,,,,,
1941,8.77,8.702857143,,,,,,,
1942,8.73,8.732857143,,,,,,,
1943,8.76,8.762857143,,,,,,,
1944,8.85,8.784285714,,,,,,,
1945,8.58,8.744285714,,,,,,,
1946,8.68,8.732857143,,,,,,,
1947,8.8,8.738571429,,,,,,,
1948,8.75,8.735714286,,,,,,,
1949,8.59,8.715714286,,,,,,,
1950,8.37,8.66,,,,,,,
1951,8.63,8.628571429,,,,,,,
1952,8.64,8.637142857,,,,,,,
1953,8.87,8.664285714,,,,,,,
1954,8.56,8.63,,,,,,,
1955,8.63,8.612857143,,,,,,,
1956,8.28,8.568571429,,,,,,,
1957,8.73,8.62,,,,,,,
1958,8.77,8.64,,,,,,,
1959,8.73,8.652857143,,,,,,,
1960,8.58,8.611428571,,,,,,,
1961,8.8,8.645714286,,,,,,,
1962,8.75,8.662857143,,,,,,,
1963,8.86,8.745714286,,,,,,,
1964,8.41,8.7,,,,,,,
1965,8.53,8.665714286,,,,,,,
1966,8.6,8.647142857,,,,,,,
1967,8.7,8.664285714,,,,,,,
1968,8.52,8.624285714,,,,,,,
1969,8.6,8.602857143,,,,,,,
1970,8.7,8.58,,,,,,,
1971,8.6,8.607142857,,,,,,,
1972,8.5,8.602857143,,,,,,,
1973,8.95,8.652857143,,,,,,,
1974,8.47,8.62,,,,,,,
1975,8.74,8.651428571,,,,,,,
1976,8.35,8.615714286,,,,,,,
1977,8.85,8.637142857,,,,,,,
1978,8.69,8.65,,,,,,,
1979,8.73,8.682857143,,,,,,,
1980,8.98,8.687142857,,,,,,,
1981,9.17,8.787142857,,,,,,,
1982,8.64,8.772857143,,,,,,,
1983,9.03,8.87,,,,,,,
1984,8.69,8.847142857,,,,,,,
1985,8.66,8.842857143,,,,,,,
1986,8.83,8.857142857,,,,,,,
1987,8.99,8.858571429,,,,,,,
1988,9.2,8.862857143,,,,,,,
1989,8.92,8.902857143,,,,,,,
1990,9.23,8.931428571,,,,,,,
1991,9.18,9.001428571,,,,,,,
1992,8.84,9.027142857,,,,,,,
1993,8.87,9.032857143,,,,,,,
1994,9.04,9.04,,,,,,,
1995,9.35,9.061428571,,,,,,,
1996,9.04,9.078571429,,,,,,,
1997,9.2,9.074285714,,,,,,,
1998,9.52,9.122857143,,,,,,,
1999,9.29,9.187142857,,,,,,,
2000,9.2,9.234285714,,,,,,,
2001,9.41,9.287142857,,,,,,,
2002,9.57,9.318571429,,,,,,,
2003,9.53,9.388571429,,,,,,,
2004,9.32,9.405714286,,,,,,,
2005,9.7,9.431428571,,,,,,,
2006,9.53,9.465714286,,,,,,,
2007,9.73,9.541428571,,,,,,,
2008,9.43,9.544285714,,,,,,,
2009,9.51,9.535714286,,,,,,,
2010,9.7,9.56,,,,,,,
2011,9.52,9.588571429,,,,,,,
2012,9.51,9.561428571,,,,,,,
2013,9.61,9.572857143,,,,,,,
2014,9.57,9.55,,,,,,,
2015,9.83,9.607142857,,,,,,,
